artist_ids,popularity
5INjqkS1o8h1imAzPqGZBb,77
1r1uxoy19fzMxunt3ONAkG,77
1ZwdS5xdxEREPySFridCfh,77
4cPHsZM98sKzmV26wlwD2W,77
1Ffb6ejR6Fe5IamqA5oRUF,77
1mYsTxnqsietFxj1OgoGbG,77
5eAWCfyUhZtHHtBdNk56l1,77
0VRj0yCOv2FXJNP47XQnx5,77
1wZtkThiXbVNtj6hee6dz9,77
4r63FhuTkUYltbVAg5TQnk,77
0GM7qgcRCORpGnfcN2tCiB,77
6icQOAFXDZKsumw3YXyusw,77
6FBDaR13swtiWwGhX1WQsP,77
4kYSro6naA4h99UJvo89HB,77
7Lmrb6KcIzfkmgbtokjsAL,77
4npEfmQ6YuiwW1GpUmaq3F,77
360IAlyVv4PCEVjgyMZrxK,77
21E3waRsmPlU7jZsS13rcj,77
7gOdHgIoIKoe4i9Tta6qdD,76
5aIqB5nVVvmFsvSdExz408,76
58lV9VcRSjABbAbfWS6skp,76
6U3ybJ9UHNKEdsH7ktGBZ7,76
6Ghvu1VvMGScGpOUJBAHNH,76
7FNnA9vBm6EKceENgCGRMb,76
7guDJrEfX3qb6FEbdPA5qi,76
181bsRPaVXVlUKXrxwZfHK,76
7jy3rLJdDQY21OgRLCZ9sD,76
64tJ2EAv1R6UaZqc4iOCyj,76
6Te49r3A6f5BiIgBRxH7FH,76
5ZS223C6JyBfXasXxrRqOk,76
28gNT5KBp7IjEOQoevXf9N,76
0vR2qb8m9WHeZ5ByCbimq2,76
3DiDSECUqqY1AuBP8qtaIa,76
2Z0lRIqr997lIUiPtrpKCr,76
3qvcCP2J0fWi0m0uQDUf6r,76
05fG473iIaoy82BF1aGhL8,76
51Blml2LZPmy7TTiAg47vQ,76
3AA28KZvwAUcZuOKwyblJQ,76
16oZKvXb6WkQlVAjwo2Wbg,76
0eHQ9o50hj6ZDNBt6Ys1sD,76
1TtXnWcUs0FCkaZDPGYHdf,76
1l7ZsJRRS8wlW3WfJfPfNS,76
74XFHRwlV6OrjEM0A2NCMF,76
7okwEbXzyT2VffBmyQBWLz,76
1qto4hHid1P71emI6Fd8xi,76
540vIaP2JwjQb9dm3aArA4,76
4oLeXFyACqeem2VImYeBFe,76
3yY2gUcIsjMr8hjo51PoJ8,76
5y2Xq6xcjJb2jVM54GHK3t,76
2feDdbD5araYcm6JhFHHw7,76
6S2OmqARrzebs0tKUEyXyp,76
7FBcuc1gsnv6Y1nwFtNRCb,76
3dRfiJ2650SZu6GbydcHNb,76
164Uj4eKjl6zTBKfJLFKKK,76
2QsynagSdAqZj3U9HgDzjD,76
64aJYyrXljOodnUG6jvhRD,75
3l0CmX0FuQjFxr8SK7Vqag,75
13y7CgLHjMVRMDqxdx0Xdo,75
20JZFwl6HVl6yg8a4H3ZqK,75
1sBkRIssrMs1AbVkOJbc7a,75
0ECwFtbIWEVNwjlrfc6xoL,75
23fqKkggKUBHNkbKtXEls4,75
3t5xRXzsuZmMDkQzgOX35S,75
2txHhyCwHjUEpJjWrEyqyX,75
757aE44tKEUQEqRuT6GnEB,75
4fxd5Ee7UefO4CUXgwJ7IP,75
17lzZA2AlOHwCwFALHttmp,75
14zUHaJZo1mnYtn6IBRaRP,75
5me0Irg2ANcsgc93uaYrpb,75
13ZEDW6vyBF12HYcZRr4EV,75
2T1aUibqR2QC2sINIDQOAK,75
5H1nN1SzW0qNeUEZvuXjAj,75
25XJqeReVV38w0tR04GGBd,75
1pQWsZQehhS4wavwh7Fnxd,75
4LEiUm1SRbFMgfqnQTwUbQ,75
1Xylc3o4UrD53lo9CvFvVg,75
0YC192cP3KPCRWx8zr8MfZ,75
0RESbWvOMyua0yuyVrztJ5,75
4fEkbug6kZzzJ8eYX6Kbbp,75
0oSGxfWSnnOXhD2fKuz2Gy,75
1LZEQNv7sE11VDY3SdxQeN,75
6oMuImdp5ZcFhWP0ESe6mG,75
6USv9qhCn6zfxlBQIYJ9qs,75
3jK9MiCrA42lLAdMGUZpwa,75
7qG3b048QCHVRO5Pv1T5lw,75
2oQX8QiMXOyuqbcZEFsZfm,75
0C0XlULifJtAgn6ZNCW2eu,75
5fMUXHkw8R8eOP2RNVYEZX,75
3JhNCzhSMTxs9WLGJJxWOY,75
6YVMFz59CuY7ngCxTxjpxE,75
3eqjTLE0HfPfh78zjh6TqT,75
4f7KfxeHq9BiylGmyXepGt,75
3eqjTLE0HfPfh78zjh6TqT,75
70kkdajctXSbqSMJbQO424,75
3aQeKQSyrW4qWr35idm0cy,75
35l9BRT7MXmM8bv2WDQiyB,75
5Rl15oVamLq7FbSb0NNBNy,75
07PdYoE4jVRF6Ut40GgVSP,75
4PzYKhC14sTJNEr0dzoo0d,75
5Y5TRrQiqgUO4S36tzjIRZ,75
2FKWNmZWDBZR4dE5KX4plR,75
7f5Zgnp2spUuuzKplmRkt7,75
2kxP07DLgs4xlWz8YHlvfh,75
1dVygo6tRFXC8CSWURQJq2,75
19k8AgwwTSxeaxkOuCQEJs,75
3EiLUeyEcA6fbRPSHkG5kb,75
6TIYQ3jFPwQSRmorSezPxX,75
3mIj9lX2MWuHmhNCA7LSCW,75
0hEurMDQu99nJRq8pTxO14,75
5he5w2lnU9x7JFhnwcekXX,74
3QSQFmccmX81fWCUSPTS7y,74
738wLrAtLtCtFOLvQBXOXp,74
6EPlBSH2RSiettczlz7ihV,74
7bu3H8JO7d0UbMoVzbo70s,74
4STHEaNw4mPZ2tzheohgXB,74
6ltzsmQQbmdoHHbLZ4ZN25,74
6LqNN22kT3074XbTVUrhzX,74
0QHgL1lAIqAw0HtD7YldmP,74
0h1zs4CTlU9D2QtgPxptUD,74
5V0MlUE1Bft0mbLlND7FJz,74
36QJpDe2go2KgaRleHCDTp,74
0nmQIMXWTXfhgOBdNzhGOs,74
2AfmfGFbe0A0WsTYm0SDTx,74
2DaxqgrOhkeH0fpeiQq2f4,74
3vQ0GE3mI0dAaxIMYe5g7z,74
7jVv8c5Fj3E9VhNjxT4snq,74
5bSfBBCxY8QAk4Pifveisz,74
163tK9Wjr9P9DmM0AVK7lm,74
21451j1KhjAiaYKflxBjr1,74
1mX1TWKpNxDSAH16LgDfiR,74
19LIHDDSHBD5NyYHI3gpzB,74
3uwAm6vQy7kWPS2bciKWx9,74
